depth,time,nodes,generated depth
20,0.149429,1066,100
19,0.072043,595,109
18,0.061214,452,82
17,0.105264,897,65
16,0.104435,897,66
15,0.0692,595,109
14,0.044281,387,70
13,0.047582,386,69
12,0.104091,735,126
11,0.037899,273,49
10,0.087757,747,60
9,0.017387,150,55
8,0.039387,311,78
7,0.001262,8,7
6,0.000798,7,6
5,0.00094,6,5
4,0.00055,5,4
3,0.000459,4,3
2,0.000338,3,2
1,0.000173,2,1
