depth,time,nodes,generated depth
20,8.492537,125503,24
19,0.79149,12176,25
18,1.343693,20178,24
17,2.340126,36141,23
16,4.020841,60162,22
15,0.431229,6634,25
14,37.478598,536628,24
13,9.068828,130187,25
12,15.355329,216243,24
11,27.683543,393187,25
10,16.511845,219195,24
9,11.082557,131957,25
8,5.315024,64535,24
7,10.36077,115499,25
6,30.004704,397166,24
5,16.983097,238441,25
4,13.991222,193428,24
3,8.095109,116532,25
2,4.748598,65830,22
1,2.750374,39755,23
