depth,time,nodes,generated depth
20,39.804331,580908,20
19,13.396335,187492,19
18,6.518806,94401,18
17,4.318947,63120,17
16,2.077336,31865,16
15,1.632659,25335,15
14,0.969019,14924,14
13,0.482398,7524,13
12,0.339848,5209,12
11,0.244761,3754,11
10,0.108007,1704,10
9,0.066164,1032,9
8,0.040422,629,8
7,0.017069,275,7
6,0.011848,195,6
5,0.007247,123,5
4,0.002832,53,4
3,0.00141,29,3
2,0.000711,16,2
1,0.000155,5,1
