depth,time,nodes,generated depth
20,7.46553,60004,20
19,3.334608,28689,19
18,2.067616,17540,18
17,1.445967,12787,17
16,0.825134,7424,16
15,0.685346,6226,15
14,0.513672,4006,14
13,0.292335,2174,13
12,0.208582,1582,12
11,0.139479,1202,11
10,0.071179,607,10
9,0.047358,394,9
8,0.029802,253,8
7,0.014306,120,7
6,0.009853,88,6
5,0.006734,59,5
4,0.002772,29,4
3,0.001623,17,3
2,0.001064,11,2
1,0.00036,4,1
