depth,time,nodes,generated depth
20,8.184888,63129,20
19,3.968765,32452,19
18,2.412622,18400,18
17,1.952597,15081,17
16,1.364813,9751,16
15,0.780799,5689,15
14,0.581136,4444,14
13,0.315903,2424,13
12,0.238679,1984,12
11,0.131465,1051,11
10,0.067382,560,10
9,0.049047,419,9
8,0.035576,302,8
7,0.012584,104,7
6,0.009545,81,6
5,0.004244,36,5
4,0.002437,21,4
3,0.002027,17,3
2,0.00124,12,2
1,0.000425,4,1
