depth,time,nodes,generated depth
20,0.612061,4494,20
19,0.376338,2523,19
18,0.172956,1161,18
17,0.15469,924,17
16,0.08049,531,16
15,0.049009,313,15
14,0.02892,195,14
13,0.022266,158,13
12,0.016838,113,12
11,0.012845,60,11
10,0.004747,29,10
9,0.00453,20,9
8,0.003654,16,8
7,0.001915,8,7
6,0.001805,7,6
5,0.001493,6,5
4,0.000876,5,4
3,0.000503,4,3
2,0.001053,3,2
1,0.000313,2,1
