depth,time,nodes,generated depth
20,0.571106,4494,20
19,0.323645,2523,19
18,0.139776,1161,18
17,0.110704,924,17
16,0.067294,531,16
15,0.038598,313,15
14,0.022299,195,14
13,0.018359,158,13
12,0.013331,113,12
11,0.007075,60,11
10,0.003261,29,10
9,0.002219,20,9
8,0.001785,16,8
7,0.000917,8,7
6,0.000759,7,6
5,0.000652,6,5
4,0.000531,5,4
3,0.00045,4,3
2,0.000332,3,2
1,0.000179,2,1
